year,month,state,rto,fuel_segment,fuel_type,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL/CNG,ALL,ALL,ALL,ALL,2941,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL/HYBRID,ALL,ALL,ALL,ALL,492,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL/HYBRID/CNG,ALL,ALL,ALL,ALL,5,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,CNG ONLY,ALL,ALL,ALL,ALL,4485,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,DIESEL,ALL,ALL,ALL,ALL,28017,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,ALL,ALL,1,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,DUAL DIESEL/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,ALL,ALL,12207,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,LNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,LPG ONLY,ALL,ALL,ALL,ALL,234,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,NOT APPLICABLE,ALL,ALL,ALL,ALL,1495,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,ALL,ALL,139232,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
